"SAMPLE_ID","NOMINAL_TAXON","LAT","LON","MORPHOLOGICAL_TAXON","OPERATIONAL_TAXON","INCIPIENT_TAXON","THRESHOLD_TAXON","CYTB","SQCL","ddRAD","ddRAD_SRA","sqcl_SRA","CYTB_genbank"
"CUMV_14806_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"PQ522802"
"CUMV_14807_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"PQ522803"
"CUMV_14808_Ct_dux","Ctenotus_dux",-26.226,121.5575,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"PQ522804"
"NA_ABTC10335_Ct_dux","Ctenotus_dux",NA,NA,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505885.1"
"NA_ABTC10338_Ct_dux","Ctenotus_dux",NA,NA,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505886.1"
"QMJ_62380_Ct_dux","Ctenotus_dux",-23.83333,138.0833,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115622",NA,"PQ522805"
"SAMAR_29946_Ct_dux","Ctenotus_dux",-25.5,131.8167,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,FALSE,TRUE,"SRS2115612",NA,"PQ522806"
"SAMAR_48573_Ct_dux","Ctenotus_dux",-27.33583,130.2261,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,TRUE,TRUE,"SRS2115546","SRR31065889","PQ522807"
"SAMR_29864_Ct_dux","Ctenotus_dux",-25.192,131.6167,"Ctenotus_dux","Ctenotus_dux",NA,"Ctenotus_sp51",TRUE,FALSE,FALSE,NA,NA,"KJ505884.1"
"SAMR_36098_Ct_dux","Ctenotus_dux",-25.233,131.0167,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,TRUE,TRUE,"SRS2115506","SRR31065892","KJ505887.1"
"SAMR_42034_Ct_dux","Ctenotus_dux",-26.26,130.3853,"Ctenotus_dux","Ctenotus_dux","Ctenotus_dux_V2","Ctenotus_sp51",TRUE,TRUE,TRUE,"SRS2115495","SRR31065893","KJ505889.1"
